ID;magazineTitle;publishDate
1;Weekly World News;1992-12-29
2;Linguistica Uralica;2001
3;LIFE;1972-06-16
4;Popular Science;1972-05
5;Trames;2005
6;Acta Historica Tallinnensia;1998
7;Weekly World News;1993-01-26
8;Rowing News;2007-12
9;Weekly World News;1992-09-01
10;Weekly World News;2003-07-15
11;Rowing News;2000-10-01
12;Weekly World News;1998-09-15
13;Weekly World News;1992-06-16
14;Weekly World News;1981-01-06
15;Weekly World News;2000-02-29
16;Weekly World News;1988-10-18
17;Weekly World News;1981-04-07
18;Weekly World News;1981-11-24
19;Weekly World News;1981-10-13
20;Weekly World News;1981-03-24
21;Weekly World News;2003-09-09
22;Weekly World News;1981-08-11
23;Weekly World News;1985-01-15
24;Weekly World News;2007-08-20
25;Weekly World News;1981-01-27
26;Weekly World News;1993-01-26
27;Weekly World News;1981-05-05
28;Weekly World News;1981-04-14
29;Weekly World News;1981-10-27
30;Weekly World News;1981-04-28
31;Weekly World News;1981-12-01
32;Weekly World News;1981-11-17
33;Weekly World News;1981-12-29
34;Weekly World News;1981-06-16
35;Weekly World News;1981-03-03
36;Weekly World News;2007-06-11
37;Weekly World News;1997-01-28
38;Weekly World News;1981-09-15
39;Weekly World News;1994
40;Weekly World News;1981-06-02
41;Weekly World News;1992-10-06
42;Weekly World News;1981-02-03
43;Weekly World News;1981-05-26
44;Weekly World News;1981-07-21
45;InfoWorld;1998-09-07
46;Popular Mechanics;1950-02
47;InfoWorld;1996-12-16
48;InfoWorld;1997-10-27
49;InfoWorld;1999-03-22
50;Competition Science Vision;1998-10
51;The Rotarian;1953-12
52;Popular Mechanics;1960-02
53;LIFE;1963-04-19
54;Computerworld;2000-09-18
55;Computerworld;2004-03-22
56;SPIN;1994-12
57;SPIN;1999-09
58;Computerworld;2003-03-17
59;Computerworld;1999-10-04
60;New York Magazine;1992-11-23
61;Islands Magazine;1992-01
63;Kenya Gazette;1978-10-19
64;Orange Coast Magazine;1989-02
66;InfoWorld;1994-12-19
67;InfoWorld;1991-08-12
68;InfoWorld;1996-11-25
69;InfoWorld;1997-03-17
70;InfoWorld;1993-08-16
71;Prevention;2008-10
72;New York Magazine;1995-10-09
73;Jet;2008-07-21
74;LIFE;1971-04-30
75;Ebony;2008-10
76;Mountain Bike;2007-05
77;Mountain Bike;2007-08
78;Mountain Bike;2006-04
79;Mountain Bike;2008-07
80;Popular Science;2008-02
81;Mountain Bike;2008-11
82;Mountain Bike;2006-05
83;Mountain Bike;2008-09
84;Popular Mechanics;1951-09
85;Jet;1975-03-06
86;PC Mag;1993-01-12
87;InfoWorld;2006-01-02
88;AUUGN;1997-08
89;AUUG Conference Proceedings;2001
90;CIO ;1989-01
91;CIO;1988-11
92;AUUG Conference Proceedings;2002
93;AUUG Conference Proceedings;1993
94;CIO ;1989-04
95;Bulletin of the Atomic Scientists;1993-05
96;CIO;1989-08
97;CIO ;1989-07
98;Microbiology Australia;2006-03
99;CIO;1989-02
100;InfoWorld;1986-09-08
101;Flying Magazine;1989-07
102;CIO ;1988-01
103;Flying Magazine;1991-03
104;Computerworld;1989-02-20
105;InfoWorld;1997-04-07
106;InfoWorld;1999-12-13
107;InfoWorld;1997-01-20
108;InfoWorld;1997-03-31
109;AUUGN;1996-10
110;AUUGN;1997-08
111;Computerworld;2006-05-22
112;LIFE;1970-06-26
113;Black Enterprise;2000-12
114;Maximum PC;1999-02
115;InfoWorld;2007-03-26
116;Working Mother;2003-08
117;Black Enterprise;1995-06
118;LIFE;1946-01-28
119;Computerworld;2007-05-07
120;New York Magazine;1980-01-14
121;InfoWorld;2006-09-04
122;Computerworld;1996-03-25
123;CIO;1999-09-01
124;Popular Mechanics;1999-02
125;Network World;1997-03-03
126;Computerworld;1996-04-01
127;LIFE;1940-01-22
128;InfoWorld;1997-10-13
129;InfoWorld;1998-03-09
130;Computerworld;1997-01-27
131;Network World;2003-12-22
132;Computerworld;1999-12-06
133;InfoWorld;1997-02-24
134;InfoWorld;1998-08-17
135;Computerworld;1996-08-19
136;InfoWorld;2006-12-18
137;InfoWorld;1996-11-04
138;Computerworld;2000-08-14
139;InfoWorld;2004-08-09
140;InfoWorld;2003-12-08
141;Billboard;1998-11-28
142;Billboard;1995-09-16
143;InfoWorld;1988-02-01
144;InfoWorld;1988-01-11
145;InfoWorld;1988-02-22
146;Billboard;1957-05-20
147;InfoWorld;1981-02-16
148;Popular Mechanics;1995-08
149;Popular Science;1990-09
150;Popular Mechanics;1990-03
151;Proceedings of the Estonian Academy of Sciences, Physics and Mathematics;2001-06
152;Proceedings of the Estonian Academy of Sciences, Physics and Mathematics;2006-06
153;Proceedings of the Estonian Academy of Sciences, Physics and Mathematics;2004-09
154;Proceedings of the Estonian Academy of Sciences, Physics and Mathematics;2000-03
155;Black Enterprise;1978-07
156;Computerworld;1974-09-11
157;Proceedings of the Estonian Academy of Sciences, Engineering;2005-12
158;Black Enterprise;1978-11
159;New Scientist;1961-09-21
160;Billboard;1984-07-21
161;AUUGN;1997-08
162;Black Enterprise;1991-08
163;Black Enterprise;1996-02
164;The Crisis;1985-08
165;New York Magazine;1982-04-12
166;Atlanta Magazine;2006-06
167;Billboard;1994-05-14
168;Ebony;2007-10
169;Jet;1985-12-09
170;New York Magazine;1997-02-24
171;Computerworld;1980-08-11
172;Popular Mechanics;1982-10
173;Atlanta Magazine;2005-01
174;Popular Mechanics;1995-08
175;Atlanta Magazine;2005-10
176;Jet;1996-08-19
177;Vibe;2004-07
178;Ebony;2008-11
179;Computerworld;1980-09-01
180;Mother Jones Magazine;1989-02
181;Computerworld;1993-07-19
182;Computerworld;1996-08-19
183;Mother Jones Magazine;1991-03
184;Popular Mechanics;1993-03
185;LIFE;1965-10-01
186;InfoWorld;1991-03-11
187;InfoWorld;1988-12-19
188;InfoWorld;1991-02-18
189;InfoWorld;1989-06-05
190;InfoWorld;1994-11-14
191;Computerworld;1991-09-02
192;Computerworld;2007-03-19
193;InfoWorld;1990-05-07
194;InfoWorld;1998-03-09
195;InfoWorld;2004-08-09
196;CIO;2007-11-15
197;CIO;2006-03-15
198;New Scientist;1981-09-03
199;New Scientist;1985-12-12
200;Computerworld;2007-07-09
201;Computerworld;2006-10-16
202;Popular Mechanics;2004-06
203;Jet;1998-01-26
204;Black Enterprise;1998-10
205;Network World;2001-12-17
206;Computerworld;1979-02-12
207;Computerworld;1983-05-09
208;New Scientist;1981-09-03
209;Network World;1992-01-20
210;Billboard;1994-04-09
211;Billboard;1992-11-14
212;InfoWorld;1988-01-18
213;Billboard;1987-12-26
214;Billboard;1981-08-08
215;Billboard;1978-01-21
216;Billboard;1968-03-23
217;Proceedings of the Estonian Academy of Sciences, Geology;2002-12
218;Network World;2003-12-22
219;Billboard;1965-10-30
220;Network World;1997-03-03
221;Billboard;1972-07-29
222;Network World;2003-09-08
223;Billboard;2000-01-22
224;Billboard;1999-12-25
225;Billboard;1966-04-02
226;Ski;1974-09
227;ABA Journal;1996-10
228;Network World;1989-02-13
229;Billboard;1967-05-27
230;Network World;1991-09-09
231;Billboard;1967-11-25
232;Billboard;1999-05-08
233;Computerworld;1990-06-04
234;Computerworld;1975-09-10
235;Billboard;1999-04-17
236;Billboard;1997-12-20
237;Network World;1995-05-29
238;Billboard;1999-08-21
239;InfoWorld;2007-03-26
240;Computerworld;1976-11-29
241;Computerworld;1980-05-05
242;Billboard;1967-01-07
243;Computerworld;1974-09-11
244;AUUGN;1997-09
245;AUUGN;1996
246;Computerworld;1996-09-09
247;CSO;2007-11
248;AUUGN;2004-09
249;Bulletin of the Atomic Scientists;1998-01
250;Popular Mechanics;2002-12
251;Cincinnati Magazine;2004-05
252;Popular Mechanics;1934-08
253;LIFE;1954-08-09
254;LIFE;1945-11-26
255;Computerworld;2004-08-30
